Transaction ID,Timestamp,Sender Name,Sender UPI ID,Receiver Name,Receiver UPI ID,Amount (INR),Status,is_fraud
02778d52-6da3-4548-8fa8-7386f6f113dc,2024-06-15 10:06:54,Saksham Saran,0000990372@okybl,Piya Gade,7509784854@okicici,167.68,FAILED,1
9bfa623e-e9a2-4055-a68f-6176799c23ba,2024-06-08 23:57:36,Anya Subramanian,0007350717@okhdfcbank,Ryan Varughese,2740886854@oksbi,6009.04,FAILED,1
cae64654-236e-4020-a916-683e6e328042,2024-06-21 04:48:20,Anya Setty,0008732461@okaxis,Riaan Suresh,3052735878@okhdfcbank,7413.23,FAILED,1
8880e38a-e352-436b-83d5-b4c3f8321451,2024-06-13 12:52:13,Lagan Choudhary,0015108332@okaxis,Inaaya  Desai,4147555645@okaxis,7865.18,FAILED,1
5182e6aa-9323-4fbd-b778-e887dde8a292,2024-07-02 13:07:51,Rati Jha,0017185135@oksbi,Reyansh Thaman,0933926971@oksbi,5253.76,SUCCESS,0
3d132084-0422-4792-9be0-3ca6b210b4bf,2024-06-23 12:49:17,Reyansh Ramakrishnan,0033515765@okybl,Lagan Mammen,8003853491@okhdfcbank,6992.8,FAILED,1
fc0d5b67-4bcc-4e51-ae2f-e52f2b95ce87,2024-06-14 10:11:07,Vritika Jain,0046071051@oksbi,Sara Bhatti,9129540262@oksbi,6242.22,SUCCESS,0
2ecfa27e-38b8-4417-89d7-92d3d3ca772c,2024-07-03 17:32:25,Kismat Ranganathan,0067193150@okhdfcbank,Aaryahi Baral,8373404709@okicici,9684.23,SUCCESS,1
bcb3f6db-30e3-4bc1-a1e5-b3918d795c0f,2024-06-15 09:59:34,Emir Dada,0069550330@okhdfcbank,Manjari Buch,4204114598@okybl,6980.5,FAILED,1
c63b93d6-6b45-4277-a786-d47449634207,2024-06-22 12:54:12,Aaina Das,0074814259@okybl,Divit Bal,8994189578@okybl,4898.85,SUCCESS,0
0ec02ace-dcc0-4e2a-bb2e-8c7b53cf2f09,2024-06-04 00:15:27,Arhaan Thakkar,0108504640@okaxis,Anika Wadhwa,0102043312@okhdfcbank,7792.23,FAILED,1
9c2b53dc-67ad-42e7-8e9a-c820ebbff436,2024-06-15 16:52:14,Jiya Doctor,0127000399@oksbi,Anika Sabharwal,5259795433@okicici,3834.76,FAILED,1
b8c65090-28d6-4451-96a3-b38bcf51129e,2024-06-15 15:13:37,Hridaan Chakrabarti,0127455892@okybl,Ivan Bose,6345109240@okicici,6410.65,SUCCESS,0
d3440145-de6d-4288-a830-fc66bf99b5c5,2024-06-27 12:39:36,Miraan Mannan,0137259221@okicici,Ryan Varughese,4531255264@okybl,395.4,FAILED,1
20339cf2-ce5f-4a8f-a44e-682a37eb79ab,2024-06-29 10:22:12,Mohanlal Mammen,0157551062@okybl,Mehul Comar,9801224084@okhdfcbank,3667.42,FAILED,1
1202cc01-70ec-4374-b9b3-a9169ac88a9b,2024-06-09 21:01:46,Ritvik Sabharwal,0159196096@okhdfcbank,Nehmat Dasgupta,8498097814@okybl,1812.49,FAILED,1
f1fd8322-f56c-4e8c-aef1-8d4f3e543166,2024-06-14 21:06:33,Urvi Gill,0186215382@okicici,Madhup Gour,2639191395@oksbi,1230.16,SUCCESS,0
4c6dbea5-da4b-4973-9167-b318331deb91,2024-07-01 14:35:06,Sara Hans,0188594615@oksbi,Ela Vora,4723764571@okybl,3304.96,FAILED,1
